,,,SUMMARY,,,,,
,,,,,,,,
,Total Books,,Total Revenue,,Average Rating,,,
,72818,," 4,56,63,945.90 ",,4.46,,,
,,,,,,,,
,,,,,,,,
Name,Author,Narrator,Time_in_min,ReleaseDate,Language,Stars,Ratings_Count,Price
Rise of the World Eater,JamieLittler,JoshuaMcGuire,592,30-09-2021,English,No Rating,,615
The Unadoptables,HanaTooke,GemmaWhelan,567,23-07-2020,English,5,,615
The Mapmakers,TamzinMerchant,TamzinMerchant,492,17-02-2022,English,No Rating,,410
The Professor and the Puzzle,CarolynKeene,JorjeanaMarie,221,01-09-2017,English,5,,305
"The 39 Clues, Book 5",PatrickCarman,DavidPittu,240,11-08-2009,English,5,,468
Scorpia,AnthonyHorowitz,OliverChris,506,30-01-2020,English,4.5,,645
A Con Artist in Paris,FranklinW.Dixon,TimGregory,180,05-09-2017,English,4.5,,305
Tunnel of Bones,VictoriaSchwab,RebaBuhr,305,03-09-2019,English,4.5,,492
The 13-Storey Treehouse,AndyGriffiths,StigWemyss,96,10-05-2017,English,5,,323
"The 39 Clues, Book 9",LindaSuePark,DavidPittu,285,24-05-2010,English,5,,469
Kid Normal and the Rogue Heroes,"ChrisSmith,GregJames","ChrisSmith,GregJames",378,06-12-2018,English,5,,569
The Jungle Book,RudyardKipling,GreatAmericanAudioStudioTalent,211,02-09-2008,English,No Rating,,501
"The 1,000-Year-Old Boy",RossWelford,"ChrisCoxon,LukeJohnson",444,11-01-2018,English,4.5,,322
Strangers on a Train,CarolynKeene,JorjeanaMarie,199,28-12-2014,English,4.5,,305
Darkstalker,TuiT.Sutherland,ShannonMcManus,590,01-07-2016,English,5,,656
Peter Rabbit 2,Puffin,EmiliaFox,208,23-01-2020,English,No Rating,,615
The Outcast,KathrynLasky,PamelaGarelick,291,20-02-2009,English,No Rating,,468
Escape from Aurora,JamieLittler,JoshuaMcGuire,537,01-10-2020,English,No Rating,,615
Where the Red Fern Grows,WilsonRawls,AnthonyHeald,416,24-10-2003,English,4.5,,"1,005.00"
"The 39 Clues, Book 10",MargaretPetersonHaddix,DavidPittu,428,23-09-2010,English,5,,469
Field Trip Fiasco,JamesPatterson,MichaelCrouch,225,04-02-2021,English,No Rating,,615
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2",DavPilkey,"LenForgione,BenD'Amico,I’keMitchell",83,03-11-2020,English,4,,258
